"Commondity group,Year,Month,Value"
"Core infilation,2010,1,0.0000"
"Core infilation,2010,2,0.3150"
"Core infilation,2010,3,0.6043"
"Core infilation,2010,4,0.8467"
"Core infilation,2010,5,1.0170"
"Core infilation,2010,6,1.1077"
"Core infilation,2010,7,1.1077"
"Core infilation,2010,8,1.0170"
"Core infilation,2010,9,0.8467"
"Core infilation,2010,10,0.6043"
"Core infilation,2010,11,0.3150"
"Core infilation,2010,12,0.0000"
"Core infilation,2011,1,0.0000"
"Core infilation,2011,2,0.5510"
"Core infilation,2011,3,1.0580"
"Core infilation,2011,4,1.4819"
"Core infilation,2011,5,1.7820"
"Core infilation,2011,6,1.9393"
"Core infilation,2011,7,1.9393"
"Core infilation,2011,8,1.7820"
"Core infilation,2011,9,1.4819"
"Core infilation,2011,10,1.0580"
"Core infilation,2011,11,0.5510"
"Core infilation,2011,12,0.0000"
"Core infilation,2012,1,0.0000"
"Core infilation,2012,2,0.3317"
"Core infilation,2012,3,0.6366"
"Core infilation,2012,4,0.8920"
"Core infilation,2012,5,1.0720"
"Core infilation,2012,6,1.1660"
"Core infilation,2012,7,1.1660"
"Core infilation,2012,8,1.0720"
"Core infilation,2012,9,0.8920"
"Core infilation,2012,10,0.6366"
"Core infilation,2012,11,0.3317"
"Core infilation,2012,12,0.0000"
"Core infilation,2013,1,0.0000"
"Core infilation,2013,2,0.1931"
"Core infilation,2013,3,0.3703"
"Core infilation,2013,4,0.5194"
"Core infilation,2013,5,0.6231"
"Core infilation,2013,6,0.6790"
"Core infilation,2013,7,0.6790"
"Core infilation,2013,8,0.6231"
"Core infilation,2013,9,0.5194"
"Core infilation,2013,10,0.3703"
"Core infilation,2013,11,0.1931"
"Core infilation,2013,12,0.0000"
"Core infilation,2014,1,0.0000"
"Core infilation,2014,2,0.1340"
"Core infilation,2014,3,0.2570"
"Core infilation,2014,4,0.3600"
"Core infilation,2014,5,0.4330"
"Core infilation,2014,6,0.4710"
"Core infilation,2014,7,0.4710"
"Core infilation,2014,8,0.4330"
"Core infilation,2014,9,0.3600"
"Core infilation,2014,10,0.2570"
"Core infilation,2014,11,0.1340"
"Core infilation,2014,12,0.0000"
"Core infilation,2015,1,0.0000"
"Core infilation,2015,2,0.0830"
"Core infilation,2015,3,0.1590"
"Core infilation,2015,4,0.2230"
"Core infilation,2015,5,0.2680"
"Core infilation,2015,6,0.2920"
"Core infilation,2015,7,0.2920"
"Core infilation,2015,8,0.2680"
"Core infilation,2015,9,0.2230"
"Core infilation,2015,10,0.1590"
