Commondity group,Year,Month,Value
GENERAL IMPORT PRICE INDEX,2011,1,0.0000
GENERAL IMPORT PRICE INDEX,2011,2,4.8680
GENERAL IMPORT PRICE INDEX,2011,3,9.3450
GENERAL IMPORT PRICE INDEX,2011,4,13.0886
GENERAL IMPORT PRICE INDEX,2011,5,15.7244
GENERAL IMPORT PRICE INDEX,2011,6,17.0780
GENERAL IMPORT PRICE INDEX,2011,7,17.0780
GENERAL IMPORT PRICE INDEX,2011,8,15.7244
GENERAL IMPORT PRICE INDEX,2011,9,13.0886
GENERAL IMPORT PRICE INDEX,2011,10,9.3450
GENERAL IMPORT PRICE INDEX,2011,11,4.8680
GENERAL IMPORT PRICE INDEX,2011,12,0.0000
GENERAL IMPORT PRICE INDEX,2012,1,0.0000
GENERAL IMPORT PRICE INDEX,2012,2,4.8499
GENERAL IMPORT PRICE INDEX,2012,3,9.3171
GENERAL IMPORT PRICE INDEX,2012,4,13.0346
GENERAL IMPORT PRICE INDEX,2012,5,15.6673
GENERAL IMPORT PRICE INDEX,2012,6,17.0341
GENERAL IMPORT PRICE INDEX,2012,7,17.0341
GENERAL IMPORT PRICE INDEX,2012,8,15.6673
GENERAL IMPORT PRICE INDEX,2012,9,13.0346
GENERAL IMPORT PRICE INDEX,2012,10,9.3171
GENERAL IMPORT PRICE INDEX,2012,11,4.8499
GENERAL IMPORT PRICE INDEX,2012,12,0.0000
GENERAL IMPORT PRICE INDEX,2013,1,0.0000
GENERAL IMPORT PRICE INDEX,2013,2,4.7367
GENERAL IMPORT PRICE INDEX,2013,3,9.0933
GENERAL IMPORT PRICE INDEX,2013,4,12.7277
GENERAL IMPORT PRICE INDEX,2013,5,15.3114
GENERAL IMPORT PRICE INDEX,2013,6,16.6319
GENERAL IMPORT PRICE INDEX,2013,7,16.6319
GENERAL IMPORT PRICE INDEX,2013,8,15.3114
GENERAL IMPORT PRICE INDEX,2013,9,12.7277
GENERAL IMPORT PRICE INDEX,2013,10,9.0933
GENERAL IMPORT PRICE INDEX,2013,11,4.7367
GENERAL IMPORT PRICE INDEX,2013,12,0.0000
GENERAL IMPORT PRICE INDEX,2014,1,0.0000
GENERAL IMPORT PRICE INDEX,2014,2,4.6857
GENERAL IMPORT PRICE INDEX,2014,3,9.0080
GENERAL IMPORT PRICE INDEX,2014,4,12.5971
GENERAL IMPORT PRICE INDEX,2014,5,15.1577
GENERAL IMPORT PRICE INDEX,2014,6,16.4429
GENERAL IMPORT PRICE INDEX,2014,7,16.4429
GENERAL IMPORT PRICE INDEX,2014,8,15.1577
GENERAL IMPORT PRICE INDEX,2014,9,12.5971
GENERAL IMPORT PRICE INDEX,2014,10,9.0080
GENERAL IMPORT PRICE INDEX,2014,11,4.6857
GENERAL IMPORT PRICE INDEX,2014,12,0.0000
GENERAL IMPORT PRICE INDEX,2015,1,0.0000
GENERAL IMPORT PRICE INDEX,2015,2,4.4145
GENERAL IMPORT PRICE INDEX,2015,3,8.4762
GENERAL IMPORT PRICE INDEX,2015,4,11.8592
GENERAL IMPORT PRICE INDEX,2015,5,14.2572
GENERAL IMPORT PRICE INDEX,2015,6,15.4989
GENERAL IMPORT PRICE INDEX,2015,7,15.4989
GENERAL IMPORT PRICE INDEX,2015,8,14.2572
GENERAL IMPORT PRICE INDEX,2015,9,11.8592
GENERAL IMPORT PRICE INDEX,2015,10,8.4762
GENERAL IMPORT PRICE INDEX,2015,11,4.4145
GENERAL IMPORT PRICE INDEX,2015,12,0.0000
GENERAL IMPORT PRICE INDEX,2016,1,0.0000
GENERAL IMPORT PRICE INDEX,2016,2,4.1740
GENERAL IMPORT PRICE INDEX,2016,3,8.0340
GENERAL IMPORT PRICE INDEX,2016,4,11.2258
GENERAL IMPORT PRICE INDEX,2016,5,13.5009
GENERAL IMPORT PRICE INDEX,2016,6,14.6600
GENERAL IMPORT PRICE INDEX,2016,7,14.6600
GENERAL IMPORT PRICE INDEX,2016,8,13.5009
GENERAL IMPORT PRICE INDEX,2016,9,11.2258
GENERAL IMPORT PRICE INDEX,2016,10,8.0340
GENERAL IMPORT PRICE INDEX,2016,11,4.1740
GENERAL IMPORT PRICE INDEX,2016,12,0.0000
GENERAL IMPORT PRICE INDEX,2017,1,0.0000
GENERAL IMPORT PRICE INDEX,2017,2,4.2826
GENERAL IMPORT PRICE INDEX,2017,3,8.2341
GENERAL IMPORT PRICE INDEX,2017,4,11.5166
GENERAL IMPORT PRICE INDEX,2017,5,13.8445
GENERAL IMPORT PRICE INDEX,2017,6,15.0290
GENERAL IMPORT PRICE INDEX,2017,7,15.0290
GENERAL IMPORT PRICE INDEX,2017,8,13.8445
GENERAL IMPORT PRICE INDEX,2017,9,11.5166
GENERAL IMPORT PRICE INDEX,2017,10,8.2341
GENERAL IMPORT PRICE INDEX,2017,11,4.2826
GENERAL IMPORT PRICE INDEX,2017,12,0.0000
GENERAL IMPORT PRICE INDEX,2018,1,0.0000
GENERAL IMPORT PRICE INDEX,2018,2,4.3913
GENERAL IMPORT PRICE INDEX,2018,3,8.4403
GENERAL IMPORT PRICE INDEX,2018,4,11.8128
GENERAL IMPORT PRICE INDEX,2018,5,14.2068
GENERAL IMPORT PRICE INDEX,2018,6,15.4269
GENERAL IMPORT PRICE INDEX,2018,7,15.4269
GENERAL IMPORT PRICE INDEX,2018,8,14.2068
GENERAL IMPORT PRICE INDEX,2018,9,11.8128
GENERAL IMPORT PRICE INDEX,2018,10,8.4403
GENERAL IMPORT PRICE INDEX,2018,11,4.3913
GENERAL IMPORT PRICE INDEX,2018,12,0.0000
GENERAL IMPORT PRICE INDEX,2019,1,0.0000
GENERAL IMPORT PRICE INDEX,2019,2,4.4181
GENERAL IMPORT PRICE INDEX,2019,3,8.4920
GENERAL IMPORT PRICE INDEX,2019,4,11.8841
GENERAL IMPORT PRICE INDEX,2019,5,14.2821
GENERAL IMPORT PRICE INDEX,2019,6,15.5337
GENERAL IMPORT PRICE INDEX,2019,7,15.5337
GENERAL IMPORT PRICE INDEX,2019,8,14.2821
GENERAL IMPORT PRICE INDEX,2019,9,11.8841
GENERAL IMPORT PRICE INDEX,2019,10,8.4920
GENERAL IMPORT PRICE INDEX,2019,11,4.4181
GENERAL IMPORT PRICE INDEX,2019,12,0.0000
GENERAL IMPORT PRICE INDEX,2020,1,0.0000
GENERAL IMPORT PRICE INDEX,2020,2,4.3913
