"Monthly consumer price index by Months and Year"

"Months","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"January",100.40,100.30,101.10,100.90,101.10,101.10,101.20,101.10,102.38,100.32,101.36,101.74,101.00,101.25,100.69,99.80,100.00,100.46,100.51,100.10,101.23,100.06,100.19,100.52
"February",101.60,100.40,102.20,102.20,103.00,102.50,102.10,102.20,103.56,101.17,101.96,102.09,101.37,101.32,100.55,99.95,100.42,100.23,100.73,100.80,99.83,101.52,101.00,100.45
"March",98.90,99.30,99.20,99.40,100.80,100.10,99.50,99.80,102.99,99.83,100.75,102.17,100.16,99.81,99.56,100.15,100.57,100.21,99.73,99.79,99.28,99.73,100.70,99.77
"April",99.30,99.50,100.00,100.00,100.50,100.60,100.20,100.50,102.20,100.35,100.14,103.32,100.05,100.02,100.08,100.14,100.33,100.00,100.08,100.31,98.46,99.96,100.18,99.66
"May",99.40,99.80,100.30,99.90,100.90,100.50,100.60,100.80,103.91,100.44,100.27,102.21,100.18,99.94,100.20,100.16,100.54,99.47,100.55,100.49,99.97,100.16,100.38,100.01
"June",99.50,100.00,100.10,99.70,100.80,100.40,100.40,100.90,102.14,100.55,100.22,101.09,99.74,100.05,100.30,100.35,100.46,99.83,100.61,99.91,100.66,100.19,100.69,100.27
"July",99.40,99.80,99.90,99.70,100.50,100.40,100.40,100.90,101.13,100.52,100.06,101.17,99.71,100.27,100.23,100.13,100.13,100.11,99.91,100.18,100.40,100.62,100.40,100.45
"August",100.10,100.00,100.10,99.90,100.60,100.40,100.40,100.60,101.56,100.24,100.23,100.93,100.63,100.83,100.22,99.93,100.10,100.92,100.45,100.28,100.07,100.25,100.00,100.88
"September",99.80,100.50,100.20,100.10,100.30,100.80,100.30,100.50,100.18,100.62,101.31,100.82,102.20,101.06,100.40,99.79,100.54,100.59,100.59,100.32,100.12,99.38,100.40,101.08
"October",100.10,100.00,100.30,99.80,100.00,100.40,100.20,100.70,99.81,100.37,101.05,100.36,100.85,100.49,100.11,100.11,100.83,100.41,100.33,100.59,100.09,99.80,100.15,100.08
"November",100.90,100.20,100.30,100.60,100.20,100.40,100.60,101.20,99.24,100.55,101.86,100.39,100.47,100.34,99.73,100.07,100.48,100.13,99.71,100.96,99.99,100.32,100.39,100.25
"December",100.10,101.00,100.30,100.80,100.60,100.80,100.50,102.90,99.32,101.38,101.98,100.53,100.27,100.51,99.76,100.02,100.23,100.21,99.75,101.40,100.10,99.82,99.99,100.12
"Monthly average",100.00,100.10,100.30,100.20,100.80,100.70,100.50,101.00,101.54,100.53,100.93,101.40,100.55,100.49,100.15,100.05,100.39,100.21,100.25,100.43,100.02,100.15,100.37,100.29
