date,value
2024-02-,191.0
2024-02-,190.1
2024-02-,192.45
2024-02-,193.35
2024-02-,195.85
2024-03-,192.0
2024-03-,199.4
2024-03-,195.8
2024-03-,194.45
2024-03-,198.35
2024-03-,191.4
2024-03-,194.35
2024-03-,195.4
2024-03-,192.0
2024-03-,189.05
2024-03-,182.85
2024-03-,181.85
2024-03-,183.05
2024-03-,182.4
2024-03-,185.7
2024-03-,184.85
2024-03-,185.65
2024-03-,188.05
2024-03-,190.65
2024-03-,188.85
2024-04-,191.8
2024-04-,197.75
2024-04-,203.6
2024-04-,206.75
2024-04-,212.5
2024-04-,210.05
2024-04-,213.7
2024-04-,215.2
2024-04-,221.2
2024-04-,222.35
2024-04-,234.3
2024-04-,237.85
2024-04-,247.3
2024-04-,241.3
2024-04-,240.3
2024-04-,232.9
2024-04-,224.7178
2024-04-,229.6832
2024-04-,231.7519
2024-04-,229.0908
2024-04-,231.3945
2024-04-,217.7593
2024-05-,216.5383
2024-05-,212.844
2024-05-,204.2554
2024-05-,197.0799
2024-05-,197.9918
2024-05-,200.2509
2024-05-,202.9865
2024-05-,203.0593
2024-05-,197.4365
2024-05-,202.3892
2024-05-,200.5069
2024-05-,198.5587
2024-05-,206.69
2024-05-,207.0188
2024-05-,218.1648
2024-05-,220.2252
2024-05-,215.66
2024-05-,218.2119
2024-05-,229.5175
2024-05-,229.6283
2024-05-,233.6704
2024-05-,220.6296
2024-06-,225.9974
2024-06-,231.3067
2024-06-,231.9149
2024-06-,233.0247
2024-06-,224.8375
2024-06-,222.0864
2024-06-,218.9099
2024-06-,223.4656
2024-06-,225.516
2024-06-,226.0522
2024-06-,226.0745
2024-06-,226.4445
2024-06-,226.4992
2024-06-,229.3538
2024-06-,224.8067
2024-06-,237.0228
2024-06-,229.7198
2024-06-,224.1159
2024-06-,226.7689
2024-06-,227.4848
2024-07-,225.2517
2024-07-,226.5259
2024-07-,223.3197
2024-07-,223.3681
2024-07-,230.5134
2024-07-,234.1792
2024-07-,247.9657
2024-07-,245.2673
2024-07-,245.2987
2024-07-,249.113
2024-07-,241.4232
2024-07-,243.8984
2024-07-,244.0792
2024-07-,240.5559
2024-07-,238.1834
2024-07-,243.0185
2024-07-,238.8542
2024-07-,230.5645
2024-07-,232.4936
2024-07-,230.3942
2024-07-,229.9151
2024-07-,230.4619
2024-07-,228.4912
2024-08-,226.8346
2024-08-,229.9145
2024-08-,227.5193
2024-08-,235.8829
2024-08-,244.931
2024-08-,245.6597
2024-08-,232.8936
2024-08-,241.8405
2024-08-,232.2842
2024-08-,237.2791
2024-08-,239.3948
2024-08-,245.4608
2024-08-,245.4615
2024-08-,246.4144
2024-08-,248.9875
2024-08-,246.1471
2024-08-,250.6137
2024-08-,251.4384
2024-08-,259.1592
2024-08-,259.0185
2024-08-,251.1465
2024-08-,246.545
2024-09-,243.0395
2024-09-,244.1924
2024-09-,245.5767
2024-09-,239.974
2024-09-,245.7241
2024-09-,247.2736
2024-09-,247.7449
2024-09-,247.7657
2024-09-,256.2405
2024-09-,257.5406
2024-09-,265.0658
2024-09-,261.1848
2024-09-,262.269
2024-09-,252.2044
2024-09-,263.1385
2024-09-,266.3026
2024-09-,268.4096
2024-09-,273.4064
2024-09-,269.3072
2024-09-,271.8228
2024-10-,263.8068
2024-10-,256.2836
2024-10-,254.132
2024-10-,254.8599
2024-10-,246.6919
2024-10-,247.9365
2024-10-,248.8975
2024-10-,254.7126
2024-10-,252.3222
2024-10-,261.3103
2024-10-,256.2292
2024-10-,256.9266
2024-10-,253.7566
2024-10-,255.7341
2024-10-,252.069
2024-10-,248.721
2024-10-,251.9653
2024-10-,244.712
2024-10-,247.6057
2024-10-,252.7044
2024-10-,247.8308
2024-10-,249.3203
2024-10-,246.0099
2024-11-,242.6025
2024-11-,245.5537
2024-11-,250.8226
2024-11-,249.1291
2024-11-,258.6087
2024-11-,253.7699
2024-11-,256.1474
2024-11-,263.5816
2024-11-,272.5059
2024-11-,278.6625
2024-11-,283.5919
2024-11-,282.0432
2024-11-,284.0335
2024-11-,296.6931
2024-11-,294.9741
2024-11-,302.5873
2024-11-,306.4703
2024-11-,311.9803
2024-11-,328.8409
2024-11-,328.7771
2024-11-,323.0201
2024-12-,298.1214
2024-12-,294.9902
2024-12-,302.7103
2024-12-,315.3887
2024-12-,331.3899
2024-12-,334.2152
2024-12-,332.9892
2024-12-,318.4848
2024-12-,317.0605
2024-12-,317.0609
2024-12-,324.1707
2024-12-,326.6209
2024-12-,334.1785
2024-12-,323.8674
2024-12-,323.3276
2024-12-,325.7258
2024-12-,329.4028
2024-12-,329.561
2024-12-,322.6639
2024-12-,321.7644
2024-12-,318.6525
2024-12-,320.4981
2025-01-,320.8304
2025-01-,324.5933
2025-01-,319.6315
2025-01-,318.6574
2025-01-,319.837
2025-01-,320.6205
2025-01-,318.5132
2025-01-,324.9254
2025-01-,325.4322
2025-01-,321.5385
2025-01-,330.5631
2025-01-,326.8522
2025-01-,327.1971
2025-01-,327.3148
2025-01-,328.7518
2025-01-,342.6531
2025-01-,345.1433
2025-01-,346.6707
2025-01-,350.9432
2025-01-,357.5327
2025-01-,364.3948
2025-01-,376.1308
2025-01-,377.6598
2025-02-,384.5007
2025-02-,383.5278
2025-02-,399.9276
2025-02-,403.3117
2025-02-,411.7544
2025-02-,431.7423
2025-02-,415.0606
2025-02-,430.0482
2025-02-,433.3749
2025-02-,419.6707
2025-02-,422.2504
2025-02-,422.1847
2025-02-,397.1232
2025-02-,399.5079
