date,price
1985-01,35
1986-01,120
1987-01,515
1988-01,2710
1989-01,6671
1990-01,9186
1991-01,10863
1992-01,21902
1993-01,35300
1994-01,44655
1995-01,54589
1996-01,62889
1997-01,77627
1998-01,78814
1999-01,91870
2000-01,109633
2001-01,120968
2002-01,134090
2003-01,171408
2004-01,197476
2005-01,247749
2006-01,276170
2007-01,347468
2008-01,424864
2009-01,531704
2010-01,632857
2011-01,735041
2012-01,844181
2013-01,1008538
2014-01,1035452
2015-01,1187810
2016-01,1288309
2017-01,1462965
2018-01,1616414
2019-01,1747987
2020-01,1787950
2021-01,1854940
2022-01,2035380
