date,price
2000-04,5.4
2000-05,5.4
2000-06,5.4
2000-07,5.4
2000-08,4.8
2000-09,4.8
2000-10,4.8
2000-11,6.0
2000-12,6.0
2001-01,6.0
2001-02,6.0
2001-03,6.0
2001-04,5.4
2001-05,5.4
2001-06,5.4
2001-07,4.8
2001-08,4.8
2001-09,4.8
2001-10,4.8
2001-11,4.8
2001-12,4.8
2002-01,4.8
2002-02,4.8
2002-03,4.8
2002-04,4.8
2002-05,4.8
2002-06,4.8
2002-07,4.8
2002-08,4.8
2002-09,4.8
2002-10,4.8
2002-11,4.8
2002-12,4.8
2003-01,4.8
2003-02,4.8
2003-03,6.6
2003-04,6.6
2003-05,6.6
2003-06,6.0
2003-07,6.0
2003-08,5.0
2003-09,5.0
2003-10,5.0
2003-11,5.0
2003-12,5.0
2004-01,5.0
2004-02,5.0
2004-03,5.0
2004-04,5.0
2004-05,5.0
2004-06,5.0
2004-07,5.0
2004-08,5.0
2004-09,5.0
2004-10,5.0
2004-11,5.0
2004-12,5.0
2005-01,5.5
2005-02,5.5
2005-03,5.5
2005-04,6.0
2005-05,6.0
2005-06,6.0
2005-07,6.0
2005-08,6.0
2005-09,6.0
2005-10,6.0
2005-11,6.0
2005-12,6.5
2006-01,6.5
2006-02,6.5
2006-03,6.5
2006-04,6.5
2006-05,6.5
2006-06,6.5
2006-07,6.5
2006-08,6.5
2006-09,6.5
2006-10,6.5
2006-11,6.5
2006-12,6.5
2007-01,6.5
2007-02,6.5
2007-03,6.5
2007-04,6.5
2007-05,6.5
2007-06,6.5
2007-07,6.5
2007-08,6.5
2007-09,6.5
2007-10,6.5
2007-11,6.5
2007-12,6.5
2008-01,6.5
2008-02,7.5
2008-03,7.5
2008-04,7.5
2008-05,13.0
2008-06,15.0
2008-07,15.0
2008-08,15.0
2008-09,15.0
2008-10,14.0
2008-11,13.0
2008-11,12.0
2008-12,11.0
2008-12,9.5
2009-01,9.5
2009-02,8.0
2009-03,8.0
2009-04,7.0
2009-05,7.0
2009-06,7.0
2009-07,7.0
2009-08,7.0
2009-09,7.0
2009-10,7.0
2009-11,7.0
2009-12,8.0
2010-01,8.0
2010-02,8.0
2010-03,8.0
2010-04,8.0
2010-05,8.0
2010-06,8.0
2010-07,8.0
2010-08,8.0
2010-09,8.0
2010-10,8.0
2010-11,8.0
2010-11,9.0
2010-12,9.0
2011-01,9.0
2011-02,11.0
2011-03,12.0
2011-04,13.0
2011-05,14.0
2011-06,14.0
2011-07,14.0
2011-08,14.0
2011-09,14.0
2011-10,15.0
2011-11,15.0
2011-12,15.0
2012-01,15.0
2012-02,15.0
2012-03,14.0
2012-04,13.0
2012-05,12.0
2012-06,11.0
2012-07,10.0
2012-08,10.0
2012-09,10.0
2012-10,10.0
2012-11,10.0
2012-12,9.0
2013-01,9.0
2013-02,9.0
2013-03,8.0
2013-04,8.0
2013-05,7.0
2013-06,7.0
2013-07,7.0
2013-08,7.0
2013-09,7.0
2013-10,7.0
2013-11,7.0
2013-12,7.0
2014-01,7.0
2014-02,7.0
2014-03,6.5
2014-04,6.5
2014-05,6.5
2014-06,6.5
2014-07,6.5
2014-08,6.5
2014-09,6.5
2014-10,6.5
2014-11,6.5
2014-12,6.5
2015-01,6.5
2015-02,6.5
2015-03,6.5
2015-04,6.5
2015-05,6.5
2015-06,6.5
2015-07,6.5
2015-08,6.5
2015-09,6.5
2015-10,6.5
2015-11,6.5
2015-12,6.5
2016-01,6.5
2016-02,6.5
2016-03,6.5
2016-04,6.5
2016-05,6.5
2016-06,6.5
2016-07,6.5
2016-08,6.5
2016-09,6.5
2016-10,6.5
2016-11,6.5
2016-12,6.5
2017-01,6.5
2017-02,6.5
2017-03,6.5
2017-04,6.5
2017-05,6.5
2017-06,6.5
2017-07,6.25
2017-08,6.25
2017-09,6.25
2017-10,6.25
2017-11,6.25
2017-12,6.25
2018-01,6.25
2018-02,6.25
2018-03,6.25
2018-04,6.25
2018-05,6.25
2018-06,6.25
2018-07,6.25
2018-08,6.25
2018-09,6.25
2018-10,6.25
2018-11,6.25
2018-12,6.25
2019-01,6.25
2019-02,6.25
2019-03,6.25
2019-04,6.25
2019-05,6.25
2019-06,6.25
2019-07,6.25
2019-08,6.25
2019-09,6.0
2019-10,6.0
2019-11,6.0
2019-12,6.0
2020-01,6.0
2020-02,6.0
2020-03,5.0
2020-04,5.0
2020-05,4.5
2020-06,4.5
2020-07,4.5
2020-08,4.5
2020-09,4.0
2020-10,4.0
2020-11,4.0
2020-12,4.0
2021-01,4.0
2021-02,4.0
2021-03,4.0
2021-04,4.0
2021-05,4.0
2021-06,4.0
2021-07,4.0
2021-08,4.0
2021-09,4.0
2021-10,4.0
2021-11,4.0
2021-12,4.0
2022-01,4.0
2022-02,4.0
2022-03,4.0
2022-04,4.0
2022-05,4.0
2022-06,4.0
2022-07,4.0
2022-08,4.0
2022-09,5.0
2022-10,6.0
2022-11,6.0
2022-12,6.0
2023-01,6.0
2023-02,6.0
2023-03,6.0
2023-04,5.5
2023-05,5.0
2023-06,4.5
2023-07,4.5
2023-08,4.5
2023-09,4.5
2023-10,4.5
2023-11,4.5
2023-12,4.5
2024-01,4.5
2024-02,4.5
2024-03,4.5
2024-04,4.5
2024-05,4.5
2024-06,4.5
2024-07,4.5
2024-08,4.5
2024-09,4.5
2024-10,4.5
2024-11,4.5
2024-12,4.5
2025-01,4.5
