date,price
1986-01,112.0
1987-01,471.0
1988-01,2569.0
1989-01,7419.0
1990-01,11358.0
1991-01,20301.0
1992-01,27144.0
1993-01,32288.0
1994-01,43006.0
1995-01,52710.0
1996-01,64678.0
1997-01,81558.0
1998-01,102416.0
1999-01,142646.0
2000-01,222882.0
2001-01,279781.0
2002-01,329150.0
2003-01,411232.0
2004-01,532346.0
2005-01,690652.0
2006-01,922672.0
2007-01,1348244.0
2008-01,1622130.0
2009-01,2092447.0
2010-01,2789184.0
2011-01,3125961.0
2012-01,3519375.0
2013-01,4400692.23
2014-01,5179216.0
2015-01,6019609.0
2016-01,7125801.0
2017-01,8192548.0
2018-01,9211848.05
2019-01,10573725.0
2020-01,11485845.0
2021-01,13402097.0
2022-01,14226792.0
2023-01,15998956.0
