date,price
1990-12,-0.348
1991-12,-0.251
1992-12,0.04
1993-12,-0.939
1994-12,-1.772
1995-12,-2.706
1996-12,-3.888
1997-04,-0.2
1997-05,-0.23
1997-06,-0.266
1997-07,-0.35
1997-08,-0.2
1997-09,-0.14
1997-10,-0.22
1997-11,-0.2
1998-01,-0.149
1998-02,-0.2
1998-03,-0.132
1998-04,-0.12
1998-05,-0.19
1998-06,-0.264
1998-07,-0.12
1998-08,-0.12
1998-09,-0.04
1998-10,-0.14
1998-11,-0.07
1998-12,-0.08
1999-01,-0.009
1999-02,0.01
1999-03,-0.1
1999-04,-0.1
1999-05,-0.03
1999-06,-0.015
1999-07,0.0
1999-08,0.0
1999-09,-0.05
1999-10,-0.033
1999-11,-0.023
1999-12,-0.06
2000-01,-0.01
2000-02,-0.05
2000-03,-0.1
2000-04,-0.05
2000-05,-0.16
2000-06,-0.13
2000-07,-0.03
2000-08,-0.01
2000-10,-0.02
2000-11,-0.06
2000-12,-0.108
2001-01,0.039
2001-02,-0.03
2001-03,-0.06
2001-04,-0.06
2001-05,-0.13
2001-06,-0.09
2001-07,0.01
2001-08,0.03
2001-11,-0.2
2001-12,-0.157
2002-01,0.18
2002-02,-0.17
2002-03,-0.1
2002-04,-0.06
2002-05,-0.15
2002-06,-0.14
2002-07,-0.15
2002-08,-0.15
2002-10,-0.17
2002-11,-0.23
2002-12,-0.288
2003-01,-0.009
2003-02,-0.15
2003-03,-0.07
2003-04,-0.24
2003-05,-0.58
2003-06,-0.35
2003-07,-0.32
2003-08,-0.23
2003-10,-0.3
2003-11,-0.39
2003-12,-0.541
2004-01,-0.188
2004-02,-0.13
2004-03,-0.3
2004-04,-0.43
2004-05,-0.52
2004-06,-0.48
2004-07,-0.39
2004-08,-0.28
2004-09,-0.45
2004-10,-0.35
2004-11,-0.5
2004-12,-0.8
2005-01,-0.43
2005-02,-0.45
2005-03,-0.3
2005-04,-0.5
2005-05,-0.65
2005-06,-0.75
2005-07,-0.4
2005-08,-0.3
2005-09,-0.3
2005-10,-0.35
2005-11,-0.35
2005-12,-0.33
2006-01,-0.35
2006-02,-0.3
2006-03,-0.1
2006-04,-0.3
2006-05,-0.4
2006-06,-0.6
2006-07,-0.55
2006-08,-0.44
2006-09,-0.6
2006-10,-0.65
2006-11,-0.64
2006-12,-0.5
2007-01,-0.1
2007-02,-0.5
2007-03,-0.2
2007-04,-0.55
2007-05,-0.7
2007-06,-0.95
2007-07,-0.8
2007-08,-0.8
2007-09,-1.0
2007-10,-1.05
2007-11,-1.25
2007-12,-1.6
2008-01,-2.421
2008-02,-2.0
2008-03,-2.3
2008-04,-2.75
2008-05,-2.85
2008-06,-1.3
2008-07,-0.8
2008-08,-0.258
2008-09,-0.237
2008-10,-0.662
2008-11,-0.432
2008-12,-0.2
2009-01,0.39
2009-02,0.84
2009-03,0.269
2009-04,-1.177
2009-05,-1.254
2009-06,-1.165
2009-07,-1.517
2009-08,-1.325
2009-09,-1.832
2009-10,-1.599
2009-11,-2.081
2009-12,-1.928
2010-01,-0.945
2010-02,-1.33
2010-03,-1.155
2010-04,-1.162
2010-05,-0.871
2010-06,-0.742
2010-07,-0.978
2010-08,-0.395
2010-09,-0.875
2010-10,-1.077
2010-11,-1.3
2010-12,-1.294
2011-01,-0.877
2011-02,-1.112
2011-03,-1.409
2011-04,-1.493
2011-05,-1.421
2011-06,-0.16
2011-07,1.102
2011-08,-0.396
2011-09,-1.501
2011-10,-0.75
2011-11,-0.567
2011-12,-0.269
2012-01,0.172
2012-02,-0.279
2012-03,0.424
2012-04,0.003
2012-05,-0.527
2012-06,0.361
2012-07,0.579
2012-08,0.051
2012-09,0.175
2012-10,0.156
2012-11,0.395
2012-12,0.498
2013-01,0.776
2013-02,-0.094
2013-03,-0.546
2013-04,-0.936
2013-05,-0.553
2013-06,0.286
2013-07,0.379
2013-08,0.604
2013-09,-0.088
2013-10,0.101
2013-11,1.004
2013-12,-0.548
2014-01,1.444
2014-02,-0.55
2014-03,-0.196
2014-04,0.811
2014-05,-0.369
2014-06,-0.052
2014-07,-0.049
2014-08,1.074
